A,
Rupture of Abdominal aortic aneurysm ,Acute
Abdominal aortic aneurysm,chronic
Acne,chronic
Acute cholecystitis,acute
Acute lymphoblastic leukaemia,acute
Acute lymphoblastic leukaemia: Children,acute
Acute lymphoblastic leukaemia: Teenagers and young adults,acute
Acute myeloid leukaemia,acute
Acute myeloid leukaemia: Children,acute
Acute myeloid leukaemia: Teenagers and young adults,acute
Acute pancreatitis,acute
Addison's disease,chronic
Alcohol-related liver disease,chronic
Allergic rhinitis
Allergies,acute/chronic
Alzheimer's disease,chronic
Anal cancer,chronic
Anaphylaxis,acute
Angioedema,acute
Ankylosing spondylitis,chronic
Anorexia nervosa,chronic
Anxiety,generally acute
Anxiety disorders in children,chronic
Appendicitis,acute
Arthritis,acute/chronic
Asbestosis,chronic
Asthma,acute/chronic
Atopic eczema,chronic
Attention deficit hyperactivity disorder (ADHD),chronic
Autistic spectrum disorder (ASD),chronic
B,
Bacterial vaginosis,chronic
Benign prostate enlargement,chronic
Bile duct cancer (cholangiocarcinoma),chronic
Binge eating,chronic
Bipolar disorder,chronic
Bladder cancer,chronic
Blood poisoning (sepsis),acute
Bone cancer,chronic
Bone cancer: Teenagers and young adults,chronic
Bowel cancer,chronic
Bowel incontinence,chronic
Bowel polyps,chronic
Brain stem death,acute
Brain tumours,chronic
Brain tumours: Children,chronic
Brain tumours: Teenagers and young adults,chronic
Breast cancer (female),chronic
Breast cancer (male),chronic
Bronchiectasis,chronic
Bronchitis,chronic
Bulimia,chronic
Bunion,chronic
C,
Carcinoid syndrome and carcinoid tumours,chronic
Catarrh,chronic
Cellulitis,acute
Cervical cancer,chronic
Chest infection,acute
Chest pain,acute/chronic
Chickenpox,acute
Chilblains,acute
Chronic fatigue syndrome,chronic
Chronic kidney disease,chronic
Chronic lymphocytic leukaemia,chronic
Chronic myeloid leukaemia,chronic
Chronic obstructive pulmonary disease,chronic
Chronic pancreatitis,chronic
Cirrhosis,chronic
Clostridium difficile,acute
Coeliac disease,chronic
Cold sore,acute
Coma,
Common cold,acute
Common heart conditions,chronic
Congenital heart disease,chronic
Conjunctivitis,acute
Constipation,acute/chronic
Cough,acute/chronic
Crohn's disease,chronic
Croup,
Cystic fibrosis,chronic
Cystitis,acute/chronic
D,
Deafblindness,acute/chronic
Deep vein thrombosis,acute
Dehydration,
Dementia,chronic
Dementia with Lewy bodies,chronic
Dental abscess,acute
Depression,chronic
Dermatitis herpetiformis,chronic
Diabetes,chronic
Diarrhoea,acute/chronic
Discoid eczema,chronic
Diverticular disease and diverticulitis,chronic
Dizziness (Lightheadedness),chronic
Down's syndrome,chronic
Dry mouth,
Dysphagia (swallowing problems),chronic
Dystonia,chronic
E,
Earache,acute/chronic
Earwax build-up,chronic
Ebola virus disease,acute
Ectopic pregnancy,
Endometriosis,chronic
Epilepsy,acute/chronic
Erectile dysfunction (impotence),chronic
Escherichia coli (E. coli) O157,acute
Ewing sarcoma,chronic
Ewing sarcoma: Children,chronic
Eye cancer,chronic
F,
Febrile seizures,acute
Fever in children,acute/chronic
Fibroids,chronic
Fibromyalgia,chronic
Flatulence,
Flu,acute
Foetal alcohol syndrome,
Food poisoning,acute
Fungal nail infection,chronic/acute
G,
Gallbladder cancer,chronic
Gallstones,chronic
Ganglion cyst,chronic
Gastroenteritis,acute
Gastro-oesophageal reflux disease (GORD),chronic
Genital herpes,chronic
Genital warts,chronic
Germ cell tumours,chronic
Glandular fever,acute
Gout,acute/chronic
Gum disease,acute/chronic
H,
Haemorrhoids (piles),chronic
Hairy cell leukaemia,chronic
"Hand, foot and mouth disease",acute
Hay fever,chronic
Head and neck cancer,chronic
Head lice and nits,chronic
Headaches,acute/chronic
Hearing loss,acute/chronic
Heart failure,acute/chronic
Hepatitis A,acute/chronic
Hepatitis B,acute/chronic
Hepatitis C,chronic
Hiatus hernia,chronic
High cholesterol,chronic
HIV,chronic
Hodgkin lymphoma,chronic
Hodgkin lymphoma: Children,chronic
Hodgkin lymphoma: Teenagers and young adults,chronic
Huntington's disease,chronic
Hyperglycaemia (high blood sugar),chronic
Hyperhidrosis,chronic
Hypoglycaemia (low blood sugar),acute
I,
Idiopathic pulmonary fibrosis,chronic
Impetigo,acute
Indigestion,chronic
Ingrown toenail,chronic
Inherited heart conditions,chronic
Insomnia,chronic/acute
Iron deficiency anaemia,chronic/acute
Irritable bowel syndrome (IBS),chronic
Irritable hip,acute
Itching,
Itchy bottom,acute/chronic
K,
Kaposi's sarcoma,chronic
Kidney cancer,chronic
Kidney infection,chronic/acute
Kidney stones,chronic
L,
Labyrinthitis,acute
Lactose intolerance,chronic
Langerhans cell histiocytosis,chronic
Laryngeal (larynx) cancer,chronic
Laryngitis,acute/chronic
Leg cramps,
Lichen planus,chronic
Liver cancer,chronic
Liver disease,chronic
Liver tumours,chronic
Loss of libido,chronic
Lung cancer,chronic
Lupus,chronic
Lyme disease,chronic
Lymphoedema,chronic
M,
Malaria,acute
Malignant brain tumour (cancerous),chronic
Malnutrition,chronic
Measles,acute
Meningitis,acute
Menopause,
Mesothelioma,chronic
Middle ear infection (otitis media),acure/chronic
Migraine,acute
Miscarriage,
Motor neurone disease (MND),chronic
Mouth cancer,chronic
Mouth ulcer,chronic/acute
Multiple myeloma,chronic
Multiple sclerosis (MS),chronic
Mumps,acute
Meniere's disease,chronic
N,
Nasal and sinus cancer,chronic
Nasopharyngeal cancer,chronic
Neuroblastoma,chronic
Neuroblastoma: Children,chronic
Neuroendocrine tumours,chronic
Non-alcoholic fatty liver disease (NAFLD),chronic
Non-Hodgkin lymphoma,chronic
